ID,CreatedAt,Title,Excerpt
235814177,2021-04-21T04:51:00.237Z,學餐能不能改進啊,必須要說，學餐不論是哪一家都實在是太油膩了。兩家自助餐事稍微好一些的，至少可以選多一些青菜雖然還是加了滿滿的油下去炒，可是到了肉類，要不是炸的煎的就是滷的。還有那個番茄炒蛋甜的要死，糖也加太多了吧，不
235811946,2021-04-20T16:59:37.976Z,621621猴子唧唧唧,621621，猴子唧唧唧，吉吉復吉吉，唧唧復唧唧，各個都是小
235811281,2021-04-20T15:33:10.417Z,蘊德 協尋uniqlo深藍色睡褲,請問有人在蘊德五樓洗衣間誤拿一件uniqlo深藍色長褲（右後方有一個口袋）嗎？上週五曬在烘衣機附近的位置。有的話再麻煩掛回去，謝謝！
235811143,2021-04-20T15:15:34.619Z,草藥,草藥期中考到底怎麼考，求解QQQQQQQQQQ
235810662,2021-04-20T14:17:08.858Z,問卦 怎麼有救護車,如題，剛剛有救護車，請問大家還平安嗎，希望沒有憾事
235810118,2021-04-20T13:07:42.674Z,范家和,范家和 你和你的猴子朋友們不要再用大聲公往宿舍窗戶外喊來喊去 吵死人 這幾天半夜也在喊
235808950,2021-04-20T10:20:00.285Z,道家,有沒有好心的同學分享一下道家的期中到底難不難，要看到多熟啊，有沒有考古題QQ，看到板上一堆人推道家所以選了，但上課聽不太懂，後來就沒有聽了，完全不知道怎麼準備考試，但大家都只說是爽課，有沒有人願意分享
235805600,2021-04-20T00:15:05.489Z,明德電梯,非常開心電梯終於要更新了，但難道不能把後面的三台電梯其中一台開給女生層分流嗎，只開貨梯真的偏僻較少人會使用，電梯開一層就很久了，7樓開到13樓，再13樓開到7樓，大概可以花30分鐘在坐電梯
235804493,2021-04-19T16:29:59.773Z,求問大一人工智慧學程,想問上學期有修魏志達老師ai課程的大一，期中期末考不好會被當嗎
235804487,2021-04-19T16:29:25.725Z,庭八豆漿,只是想問⋯這樣的冰豆漿是正常的嗎，底部有大約一公分像是豆花的沉澱物，軟軟綿綿爛爛的，（喝了好幾口覺得今天的味道有點特別 也不像是壞掉 後來真的喝不下去倒掉後才發現⋯），（買了兩小時後就倒掉的 應該不是
